experiment_name,model_type,channel_set_name,channel_names,n_channels,n_temporal_features,fold,runtime_seconds,best_epoch,best_val_loss,epochs_trained,accuracy,balanced_accuracy,roc_auc,precision_sick,recall_sick,sensitivity_sick,specificity_healthy,f1_sick,tn,fp,fn,tp
temporal_5ch_mean_std_deltas_cumulative_flat_logistic,flat_logistic,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,1,0.021242856979370117,,,,0.74,0.7239583333333333,0.7760416666666667,0.631578947368421,0.6666666666666666,0.6666666666666666,0.78125,0.6486486486486487,25,7,6,12
temporal_5ch_mean_std_deltas_cumulative_flat_logistic,flat_logistic,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,2,0.02261638641357422,,,,0.74,0.7239583333333333,0.8246527777777778,0.631578947368421,0.6666666666666666,0.6666666666666666,0.78125,0.6486486486486487,25,7,6,12
temporal_5ch_mean_std_deltas_cumulative_flat_logistic,flat_logistic,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,3,0.02470684051513672,,,,0.74,0.6996527777777778,0.7465277777777778,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.84375,0.6060606060606061,27,5,8,10
temporal_5ch_mean_std_deltas_cumulative_flat_logistic,flat_logistic,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,4,0.021874666213989258,,,,0.6938775510204082,0.6881720430107527,0.7240143369175627,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.7096774193548387,0.6153846153846154,22,9,6,12
temporal_5ch_mean_std_deltas_cumulative_flat_logistic,flat_logistic,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,5,0.024504661560058594,,,,0.673469387755102,0.6836917562724014,0.7150537634408602,0.5416666666666666,0.7222222222222222,0.7222222222222222,0.6451612903225806,0.6190476190476191,20,11,5,13
temporal_5ch_mean_std_deltas_cumulative_temporal_cnn,temporal_cnn,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,1,1.568659782409668,29.0,0.6085020303726196,54.0,0.76,0.7395833333333333,0.8628472222222221,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8125,0.6666666666666666,26,6,6,12
temporal_5ch_mean_std_deltas_cumulative_temporal_cnn,temporal_cnn,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,2,1.2069008350372314,24.0,0.6845549941062927,49.0,0.7,0.6684027777777778,0.6788194444444445,0.5882352941176471,0.5555555555555556,0.5555555555555556,0.78125,0.5714285714285714,25,7,8,10
temporal_5ch_mean_std_deltas_cumulative_temporal_cnn,temporal_cnn,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,3,2.003878116607666,75.0,0.38644540309906006,100.0,0.76,0.7152777777777778,0.8315972222222222,0.7142857142857143,0.5555555555555556,0.5555555555555556,0.875,0.625,28,4,8,10
temporal_5ch_mean_std_deltas_cumulative_temporal_cnn,temporal_cnn,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,4,1.082519292831421,32.0,0.6850925087928772,57.0,0.8163265306122449,0.796594982078853,0.8279569892473119,0.7647058823529411,0.7222222222222222,0.7222222222222222,0.8709677419354839,0.7428571428571429,27,4,5,13
temporal_5ch_mean_std_deltas_cumulative_temporal_cnn,temporal_cnn,temporal_5ch_mean_std_deltas_cumulative,frame_mean|frame_std|mean_delta|std_delta|cumulative_recovery,5,100,5,2.3301749229431152,107.0,0.32512712478637695,132.0,0.7551020408163265,0.7598566308243728,0.8673835125448028,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.7419354838709677,0.7,23,8,4,14
